,name,code
277,Gestión y Política de la Innovación y la Tecnología,col_20.500.12404_1440
278,Gobierno y Políticas Públicas,col_20.500.12404_12741
279,Historia con mención en Estudios Andinos,col_20.500.12404_4511
280,Historia con mención en Estudios Andinos,col_20.500.12404_15890
281,Historia con mención en Historia Económica,col_20.500.12404_16508
282,Historia del Arte y Curaduría,col_20.500.12404_5172
283,Historia (Dr.),col_20.500.12404_1576
284,Historia (Lic.),col_20.500.12404_28
285,Historia (Mag.),col_20.500.12404_764
286,Humanidades,col_20.500.12404_1392
287,Humanidades,col_20.500.12404_4744
288,• Humanidades,col_20.500.12404_14001
289,Humanidades con mención en Arqueología,col_20.500.12404_16566
290,Humanidades con mención en Ciencias de la Información,col_20.500.12404_16567
291,Humanidades con mención en Estudios Latinoamericanos,col_20.500.12404_17088
292,Humanidades con mención en Estudios Peruanos,col_20.500.12404_17090
293,Humanidades con mención en Estudios sobre Lenguaje y Cultura,col_20.500.12404_17089
294,Humanidades con mención en Estudios Teóricos y  Críticos,col_20.500.12404_6404
295,Humanidades con mención en Filosofía,col_20.500.12404_12655
296,Humanidades con mención en Geografía y Medio Ambiente,col_20.500.12404_15907
297,Humanidades con mención en Historia,col_20.500.12404_16568
298,Humanidades con mención en Lingüística y Literatura,col_20.500.12404_16570
299,Informática,col_20.500.12404_765
300,Informática con mención en Ciencias de la Computación,col_20.500.12404_6357
301,Informática con mención en Ingeniería de Software,col_20.500.12404_6358
302,Ingeniería Biomédica,col_20.500.12404_16536
303,Ingeniería Biomédica,col_20.500.12404_14255
304,Ingeniería Civil con mención en Diagnóstico y Reparación de Construcciones Patrimoniales y Existentes,col_20.500.12404_16509
305,Ingeniería Civil con mención en Estructuras Sismorresistentes,col_20.500.12404_16510
306,Ingeniería Civil con mención en Gestión de Riesgos Naturales,col_20.500.12404_16511
307,Ingeniería Civil (Lic.),col_20.500.12404_11
308,Ingeniería Civil (Mag.),col_20.500.12404_766
309,Ingeniería de Control y Automatización,col_20.500.12404_767
310,Ingeniería de las Telecomunicaciones (Lic.),col_20.500.12404_17
311,Ingeniería de las Telecomunicaciones (Mag.),col_20.500.12404_5261
312,Ingeniería de Minas,col_20.500.12404_16
313,Ingeniería de Soldadura,col_20.500.12404_6207
314,Ingeniería (Dr.),col_20.500.12404_9314
315,Ingeniería Electrónica,col_20.500.12404_12
316,Ingeniería Electrónica (Mag.),col_20.500.12404_4460
317,Ingeniería Geológica,col_20.500.12404_13060
318,Ingeniería Industrial,col_20.500.12404_13
319,Ingeniería Industrial,col_20.500.12404_7518
320,Ingeniería Industrial con mención en Finanzas,col_20.500.12404_16512
321,Ingeniería Industrial con Mención en Gestión de Operaciones,col_20.500.12404_4477
322,Ingeniería Industrial con mención en Logística,col_20.500.12404_16513
323,Ingeniería Informática,col_20.500.12404_14
324,Ingeniería Mecánica (Lic.),col_20.500.12404_15
325,Ingeniería Mecánica (Mag.),col_20.500.12404_768
326,Ingeniería Mecatrónica (Lic.),col_20.500.12404_4486
327,Ingeniería Mecatrónica (Mag.),col_20.500.12404_1750
328,Ingeniería y Ciencia de los Materiales,col_20.500.12404_5041
329,Ingeniería y Gestión de Cadenas de Suministro,col_20.500.12404_16514
330,Integración e Innovación Educativa de las Tecnologías de la Información y la Comunicación,col_20.500.12404_5568
331,Intervención Clínica Psicoanalítica,col_20.500.12404_14009
332,Investigación Jurídica,col_20.500.12404_7279
333,Lingüística con mención en Estudios Andinos,col_20.500.12404_4525
334,Lingüística con mención en Estudios Andinos (Dr.),col_20.500.12404_12265
335,Lingüística (Mag.),col_20.500.12404_771
336,Lingüística y Literatura con mención en Lingüística,col_20.500.12404_16548
337,Lingüística y Literatura con mención en Literatura Hispánica,col_20.500.12404_16547
338,Literatura Hispanoamericana,col_20.500.12404_16483
339,Literatura Hispanoamericana,col_20.500.12404_839
340,Logística,col_20.500.12404_16515
341,Matemáticas Aplicadas,col_20.500.12404_1467
342,Matemáticas Aplicadas con mención en Aplicaciones a la Economía,col_20.500.12404_16516
343,Matemáticas Aplicadas con mención en Procesos Estocásticos,col_20.500.12404_16517
344,Matemáticas (Dr.),col_20.500.12404_1572
345,Matemáticas (Lic.),col_20.500.12404_6444
346,Matemáticas (Mag.),col_20.500.12404_769
347,Música,col_20.500.12404_7736
348,Musicología,col_20.500.12404_14932
349,Periodismo,col_20.500.12404_951
350,Planificación de la Educación,col_20.500.12404_772
351,Políticas Educativas,col_20.500.12404_1353
352,Política y Gestión Universitaria,col_20.500.12404_5617
353,Prevención y Control de la Corrupción,col_20.500.12404_10017
354,Procesamiento de Señales e Imágenes Digitales.,col_20.500.12404_5040
355,Psicología,col_20.500.12404_773
356,Psicología,col_20.500.12404_16549
357,Psicología,col_20.500.12404_15781
358,• Psicología Clínica,col_20.500.12404_23
359,Psicología Clínica de la Salud,col_20.500.12404_1637
360,Psicología Clínica de la Salud con mención en Enfermedades Crónicas,col_20.500.12404_16518
361,Psicología Clínica de la Salud con mención en Psicooncología,col_20.500.12404_16519
362,Psicología Comunitaria,col_20.500.12404_1636
363,Psicología Comunitaria con mención en Intervención en Desastres,col_20.500.12404_6361
364,Psicología Comunitaria con mención en Salud Mental,col_20.500.12404_6362
365,Psicología con mención en Evaluación Clínica,col_20.500.12404_16521
366,• Psicología con mención en Psicología Clínica,col_20.500.12404_9473
367,• Psicología con mención en Psicología Educacional,col_20.500.12404_9474
368,• Psicología con mención en Psicología Social,col_20.500.12404_9471
369,Psicología (Dr.),col_20.500.12404_4436
370,• Psicología Educacional,col_20.500.12404_24
371,• Psicología Social,col_20.500.12404_25
372,Publicidad,col_20.500.12404_952
373,Química (Lic.),col_20.500.12404_591
374,Química (Mag.),col_20.500.12404_770
375,Regulación de los Servicios Públicos,col_20.500.12404_829
376,"Regulación, Gestión y Economía Minera",col_20.500.12404_8966
377,Relaciones Internacionales,col_20.500.12404_16540
378,Relaciones Internacionales con mención en Gestión Pública Externa,col_20.500.12404_7252
379,Relaciones Laborales,col_20.500.12404_1355
380,Sociología con mención en Análisis Organizacional y Cultura,col_20.500.12404_16520
381,Sociología con mención en Desarrollo,col_20.500.12404_5143
382,Sociología con mención en Desarrollo y Políticas Sociales,col_20.500.12404_23445
383,Sociología con mención en Población,col_20.500.12404_6413
384,Sociología (Dr.),col_20.500.12404_5364
385,Sociología (Lic.),col_20.500.12404_9
386,Sociología (Mag.),col_20.500.12404_774
387,Teatro,col_20.500.12404_12272
388,Trastornos de la Comunicación Humana,col_20.500.12404_775
